nome,descrição,latitude,longitude
Ouro Preto,"Cidade histórica com arquitetura colonial, igrejas barrocas e minas de ouro.",-20.3796,-43.5122
Inhotim,"Maior museu a céu aberto da América Latina, com jardins botânicos e coleção de arte contemporânea.",-20.1317,-44.0609
Tiradentes,"Cidade preservada com ruas de pedra, igrejas históricas e eventos culturais.",-21.1106,-44.1736
Parque Nacional da Serra do Cipó,"Área de preservação com belas cachoeiras, trilhas e paisagens naturais.",-19.3122,-43.5886
Santuário do Caraça,Antigo colégio religioso em uma área de conservação com trilhas e uma rica biodiversidade.,-20.0867,-43.4875
Praça da Liberdade,"Em Belo Horizonte, é um complexo cultural com prédios históricos, jardins e eventos.",-19.9336,-43.9379
Gruta da Lapinha,Formação rochosa impressionante com estalactites e estalagmites.,-19.7357,-43.8781
Cachoeira do Tabuleiro,"Maior queda d'água de Minas Gerais, localizada no Parque Nacional da Serra do Cipó.",-19.3538,-43.5615
Museu das Minas e do Metal,"Em Belo Horizonte, apresenta a história da mineração e da metalurgia na região.",-19.9185,-43.9383
Parque Natural do Caraça,"Reserva natural com fauna e flora diversificadas, ideal para ecoturismo.",-20.0865,-43.4869