nome,capacidade,latitude,longitude
Maracanã,78838,-22.90981,-43.23391
Mané Garrincha,72000,-15.78375,-47.89903
Morumbi,66795,-23.60006,-46.72016
Arena Castelão,63903,-3.80674,-38.52168
Mineirão,61927,-19.86591,-43.97104
Arruda,60000,-8.02681,-34.89120
Arena do Grêmio,55662,-29.97404,-51.19511
Mangueirão,55645,-1.38114,-48.44483
Beira-Rio,50848,-30.06549,-51.23492
Neo Química Arena,48234,-23.54529,-46.47429
Arena Fonte Nova,48000,-12.97889,-38.50348
Parque do Sabiá,46782,-18.91309,-48.23299
Arena Pernambuco,46000,-8.02681,-34.89120
Arena MRV,46000,-19.93001,-44.01388
Prudentão,45954,-22.09857,-51.41506
Engenhão,45217,-22.89319,-43.29357
Albertão,44200,-5.11614,-42.79287
Morenão,44200,-20.50143,-54.61022
Arena Pantanal,44097,-15.60406,-56.12230
Arena da Amazônia,44000,-3.08434,-60.02650